sigma,average_result
0.5,5683403.8575998815
1.0,5564210.6641697595
1.5,6940160.254698749
2.0,5193626.8371691005
2.5,3735477.1563620553
3.0,5406569.574324058
3.5,6285759.713472303
4.0,5177509.48193907
4.5,5724937.719266312
5.0,4418876.919701353
5.5,4213544.184010315
6.0,4141088.3879097723
6.5,5592848.02079594
7.0,5269871.658965082
7.5,5301773.995779174
8.0,2550286.676708686
8.5,4110244.7559760488
9.0,2882214.437697133
9.5,3925561.024514172
10.0,4468889.754096394
