sigma,average_result
0.5,300.00000000000057
1.0,300.00000000000057
1.5,300.0000000000006
2.0,300.00000000000057
2.5,300.0000000000007
3.0,300.00000000000057
3.5,300.0000000000006
4.0,300.00000000000057
4.5,300.0000000000006
5.0,300.0000000000005
5.5,300.0000000000005
6.0,300.0000000000006
6.5,300.0000000000005
7.0,300.00000000000057
7.5,300.00000000000057
8.0,300.00000000000057
8.5,300.00000000000057
9.0,300.00000000000057
9.5,300.00000000000057
10.0,300.00000000000045
