sigma,average_result
0.5,433888.1421449671
1.0,504162.08464634226
1.5,482312.3075885768
2.0,480088.40064463846
2.5,387221.0116941839
3.0,394496.12101079343
3.5,536642.0216825624
4.0,392508.681941351
4.5,448591.4699494442
5.0,492254.97816529014
5.5,577482.1448289048
6.0,454559.72983036167
6.5,386881.7994986817
7.0,427561.4452520415
7.5,495427.61094978655
8.0,444762.0144392079
8.5,610080.9532226826
9.0,480141.38737887575
9.5,482089.61864251696
10.0,438619.89384407585
