ES,GD
[49917.2979522],144216941349.02338
[49917.2979522],143578831783.40536
[49917.2979522],142942842125.0544
[49917.2979522],142308967673.6355
[49917.2979522],141677203734.03003
[49917.2979522],141047545616.33737
[48904.55747888],140419988635.87167
[48904.55747888],139794528113.16467
[48904.55747888],139171159373.96472
[48904.55747888],138549877749.23706
[48904.55747888],137930678575.16333
[48904.55747888],137313557193.14168
[48904.55747888],136698508949.78702
[48904.55747888],136085529196.93126
[48904.55747888],135474613291.62233
[48904.55747888],134865756596.1258
[48904.55747888],134258954477.92284
[48904.55747888],133654202309.71179
[48904.55747888],133051495469.40788
[48904.55747888],132450829340.1427
[48904.55747888],131852199310.26427
[48904.55747888],131255600773.33762
[48817.83051629],130661029128.14449
[48391.4309306],130068479778.68355
[48391.4309306],129477948134.16919
[48391.4309306],128889429609.03336
[48391.4309306],128302919622.92422
[48391.4309306],127718413600.7068
[48391.4309306],127135906972.46248
[48391.4309306],126555395173.49005
[48391.4309306],125976873644.30396
[48377.76566852],125400337830.6362
[48377.76566852],124825783183.43468
[48377.76566852],124253205158.86453
[48377.76566852],123682599218.30748
[48377.76566852],123113960828.36157
[48377.76566852],122547285460.84195
[48377.76566852],121982568592.77998
[48377.76566852],121419805706.4242
[48377.76566852],120858992289.23956
[48377.76566852],120300123833.90733
[48377.76566852],119743195838.32574
[48320.85923234],119188203805.61034
[48320.85923234],118635143244.09235
[48320.85923234],118084009667.31967
[48320.85923234],117534798594.05759
[48320.85923234],116987505548.28772
[48320.85923234],116442126059.20818
[48320.85923234],115898655661.23401
[48320.85923234],115357089893.9966
[48320.85923234],114817424302.3441
[48320.85923234],114279654436.34201
[48320.85923234],113743775851.27142
[48320.85923234],113209784107.63045
[48320.85923234],112677674771.1344
[48320.85923234],112147443412.71475
[48320.85923234],111619085608.5195
[48047.25997724],111092596939.9136
[48047.25997724],110567972993.47884
[48047.25997724],110045209361.01329
[48047.25997724],109524301639.53146
[48015.11776385],109005245431.26562
[48015.11776385],108488036343.66322
[48015.11776385],107972669989.38988
[48015.11776385],107459141986.32684
[48015.11776385],106947447957.57228
[48015.11776385],106437583531.44121
[48015.11776385],105929544341.46487
[47848.42631595],105423326026.39178
[47848.42631595],104918924230.18639
[47710.14739654],104416334602.0306
[47710.14739654],103915552796.32285
[47710.14739654],103416574472.67741
[47710.14739654],102919395295.92622
[47710.14739654],102424010936.11728
[47710.14739654],101930417068.51546
[47710.14739654],101438609373.60239
[47710.14739654],100948583537.07605
[47710.14739654],100460335249.85173
[47447.84184128],99973860208.06047
[47447.84184128],99489154113.05043
[47447.84184128],99006212671.38695
[47158.03524313],98525031594.85106
[47158.03524313],98045606600.44128
[47158.03524313],97567933410.37209
[47158.03524313],97092007752.07547
[47158.03524313],96617825358.1992
[47158.03524313],96145381966.6081
[47158.03524313],95674673320.38393
[47158.03524313],95205695167.82439
[47158.03524313],94738443262.44492
[47158.03524313],94272913362.97673
[46588.19442746],93809101233.36783
[46588.19442746],93347002642.78319
[46588.19442746],92886613365.60431
[46588.19442746],92427929181.42932
[46588.19442746],91970945875.07289
[46588.19442746],91515659236.56657
[46588.19442746],91062065061.15877
[46579.87035776],90610159149.31418
[46579.87035776],90159937306.71385
[46579.87035776],89711395344.25644
[46579.87035776],89264529078.0564
[46579.87035776],88819334329.44543
[46544.28235956],88375806924.97162
[46544.28235956],87933942696.39969
[46544.28235956],87493737480.71117
[46451.98550534],87055187120.10422
[46451.98550534],86618287461.99338
[46451.98550534],86183034359.01031
[46451.98550534],85749423669.0033
[46347.41570862],85317451255.03679
[46347.41570862],84887112985.39229
[46347.41570862],84458404733.568
[46347.41570862],84031322378.27881
[46347.41570862],83605861803.45593
[46186.32075375],83182018898.24754
[46186.32075375],82759789557.01848
[46172.19564371],82339169679.35022
[46172.19564371],81920155170.04086
[46172.19564371],81502741939.10506
[46172.19564371],81086925901.77417
[46039.46620279],80672702978.49628
[46039.46620279],80260069094.93648
[46021.63488399],79849020181.97585
[46021.63488399],79439552175.71281
[45960.2050836],79031661017.46167
[45960.2050836],78625342653.75424
[45960.2050836],78220593036.33838
[45960.2050836],77817408122.17873
[45960.2050836],77415783873.45694
[45960.2050836],77015716257.57114
[45960.2050836],76617201247.13593
[45960.2050836],76220234819.98264
[45960.2050836],75824812959.1594
[45865.63323488],75430931652.93103
[45865.63323488],75038586894.77882
[45865.63323488],74647774683.40077
[45725.80514781],74258491022.7119
[45677.41683624],73870731921.84344
[45677.41683624],73484493395.14319
[45677.41683624],73099771462.17622
[45569.08550483],72716562147.72388
[45569.08550483],72334861481.78384
[45569.08550483],71954665499.5713
[45569.08550483],71575970241.51738
[45508.1065249],71198771753.27031
[45508.1065249],70823066085.69469
[45331.3988872],70448849294.8717
[45331.3988872],70076117442.09976
[45319.24315811],69704866593.89322
[45319.24315811],69335092821.9836
[45319.24315811],68966792203.31905
[45319.24315811],68599960820.06387
[45319.24315811],68234594759.60004
[45175.76672701],67870690114.52492
[45175.76672701],67508242982.653786
[45165.51570328],67147249467.01763
[45092.15280138],66787705675.86451
[45092.15280138],66429607722.659096
[45092.15280138],66072951726.08295
[45070.72597829],65717733810.0337
[45070.72597829],65363950103.62658
[45070.72597829],65011596741.19245
[45016.69413655],64660669862.27931
[45016.69413655],64311165611.65235
[45016.69413655],63963080139.29232
[45016.69413655],63616409600.39748
[45016.69413655],63271150155.382416
[45016.69413655],62927297969.8785
[45016.69413655],62584849214.73395
[44912.02085377],62243800066.01297
[44719.33413424],61904146704.99722
[44661.692296],61565885318.18456
[44521.89749598],61229012097.28971
[44521.89749598],60893523239.24391
[44437.76401345],60559414946.19511
[44437.76401345],60226683425.50808
[44437.76401345],59895324889.764175
[44437.76401345],59565335556.76114
[44437.76401345],59236711649.51377
[44330.56072755],58909449396.2534
[44330.56072755],58583545030.42786
[44330.56072755],58258994790.70186
[44299.58247191],57935794920.95679
[44299.58247191],57613941670.29046
[44252.18448066],57293431293.017685
[43926.13974025],56974260048.66952
[43926.13974025],56656424201.99407
[43926.13974025],56339920022.9558
[43926.13974025],56024743786.73627
[43926.13974025],55710891773.733185
[43926.13974025],55398360269.56119
[43926.13974025],55087145565.051765
[43926.13974025],54777243956.252815
[43769.42321353],54468651744.42868
[43769.42321353],54161365236.060776
[43769.42321353],53855380742.847145
[43689.13331307],53550694581.70236
[43689.13331307],53247303074.75749
[43689.13331307],52945202549.360664
[43689.13331307],52644389338.07642
[43654.07198628],52344859778.68616
[43654.07198628],52046610214.18758
[43654.07198628],51749636992.79544
[43654.07198628],51453936467.94086
[43654.07198628],51159504998.271904
[43654.07198628],50866338947.65287
[43654.07198628],50574434685.16537
[43654.07198628],50283788585.106964
[43654.07198628],49994397026.9927
[43654.07198628],49706256395.553474
[43654.07198628],49419363080.73722
[43470.3224188],49133713477.70848
[43470.3224188],48849303986.84859
[43470.3224188],48566131013.755486
[43120.98902606],48284190969.2436
[43120.98902606],48003480269.344246
[43120.98902606],47723995335.30543
[43120.98902606],47445732593.591354
[43120.98902606],47168688475.88355
[42648.99373432],46892859419.07992
[42648.99373432],46618241865.29492
[42648.99373432],46344832261.85966
[42512.62353722],46072627061.32221
[42467.87966827],45801622721.44695
[42173.381525],45531815705.21531
[42173.381525],45263202480.825035
[42024.79093494],44995779521.690544
[42024.79093494],44729543306.44315
[41137.4949269],44464490318.930885
[41137.4949269],44200617048.21795
[41137.4949269],43937919988.58583
[40902.37311334],43676395639.53227
[40902.37311334],43416040505.771904
[40763.31917271],43156851097.23571
[40763.31917271],42898823929.07164
[40763.31917271],42641955521.64441
[40763.31917271],42386242400.53497
[40763.31917271],42131681096.541145
[40602.78601316],41878268145.677635
[40602.78601316],41626000089.175446
[40602.78601316],41374873473.482635
[40602.78601316],41124884850.26355
[40602.78601316],40876030776.39941
[40602.78601316],40628307813.98794
[40602.78601316],40381712530.34387
[40602.78601316],40136241497.998085
[40602.78601316],39891891294.69864
[40602.78601316],39648658503.40994
[40602.78601316],39406539712.313324
[40602.78601316],39165531514.80637
[40602.78601316],38925630509.5036
[40602.78601316],38686833300.23634
[40602.78601316],38449136496.05226
[40478.6245598],38212536711.21589
[40344.55832369],37977030565.208336
[40344.55832369],37742614682.72746
[40344.55832369],37509285693.687805
[40344.55832369],37277040233.22036
[40223.99701325],37045874941.67311
[40147.79687938],36815786464.61035
[39858.4752711],36586771452.81332
[39858.4752711],36358826562.279755
[39383.80271317],36131948454.22417
[39203.89059169],35906133795.07769
[38871.92537438],35681379256.4882
[38871.92537438],35457681515.31991
[38871.92537438],35235037253.654175
[38871.92537438],35013443158.78879
[38340.71804836],34792895923.23808
[38340.71804836],34573392244.73312
[38340.71804836],34354928826.22184
[38340.71804836],34137502375.86866
[38340.71804836],33921109607.054688
[38340.71804836],33705747238.377617
[38340.71804836],33491411993.651978
[38340.71804836],33278100601.90878
[38340.71804836],33065809797.39589
[38340.71804836],32854536319.577755
[38340.71804836],32644276913.135372
[38340.71804836],32435028327.966534
[38340.71804836],32226787319.185757
[38340.71804836],32019550647.124065
[38340.71804836],31813315077.32921
[38340.71804836],31608077380.565704
[38340.71804836],31403834332.81434
[38340.71804836],31200582715.273285
[38340.71804836],30998319314.356625
[36399.97776641],30797040921.695686
[36399.97776641],30596744334.138077
[36399.97776641],30397426353.74817
[36399.97776641],30199083787.807205
[36399.97776641],30001713448.812714
[36399.97776641],29805312154.479282
[36399.97776641],29609876727.73779
[36399.97776641],29415403996.73605
[36399.97776641],29221890794.838596
[36399.97776641],29029333960.62643
[36399.97776641],28837730337.89708
[36399.97776641],28647076775.665176
[36399.97776641],28457370128.16166
[36399.97776641],28268607254.834263
[36399.97776641],28080785020.347412
[36399.97776641],27893900294.58209
[36399.97776641],27707949952.636066
[36399.97776641],27522930874.823696
[36399.97776641],27338839946.67598
[36399.97776641],27155674058.940742
[36124.66752443],26973430107.582253
[35985.4791122],26792104993.781673
[35673.64329631],26611695623.936474
[35673.64329631],26432198909.66118
[35527.54463084],26253611767.786835
[35527.54463084],26075931120.361153
[35292.34798015],25899153894.648365
[35292.34798015],25723277023.129635
[35292.34798015],25548297443.50255
[35292.34798015],25374212098.681522
[35292.34798015],25201017936.797546
[35292.34798015],25028711911.198277
[35292.34798015],24857290980.44817
[35292.34798015],24686752108.32816
[35292.34798015],24517092263.835804
[35292.34798015],24348308421.18567
[35292.34798015],24180397559.808685
[35292.34798015],24013356664.352398
[35292.34798015],23847182724.681297
[35074.27545598],23681872735.87635
[34838.22289559],23517423698.235104
[34838.22289559],23353832617.272064
[34838.22289559],23191096503.71811
[34838.22289559],23029212373.520996
[34796.55227306],22868177247.844906
[34796.55227306],22707988153.070896
[34796.55227306],22548642120.796593
[34796.55227306],22390136187.836384
[34796.55227306],22232467396.22122
[34555.43209896],22075632793.198784
[34381.25021622],21919629431.233246
[33822.88609873],21764454368.005657
[33822.88609873],21610104666.413784
[33668.51797672],21456577394.571735
[33668.51797672],21303869625.810562
[33668.51797672],21151978438.677902
[33668.51797672],21000900916.938076
[33668.51797672],20850634149.572025
[33668.51797672],20701175230.777336
[33668.51797672],20552521259.968433
[33668.51797672],20404669341.776077
[33668.51797672],20257616586.04801
[33494.51048218],20111360107.848465
[33494.51048218],19965897027.458397
[33494.51048218],19821224470.375492
[33494.51048218],19677339567.314003
[33494.51048218],19534239454.20483
[33434.62988527],19391921272.19558
[33434.62988527],19250382167.65055
[33434.62988527],19109619292.15072
[32981.84204907],18969629802.493614
[32981.84204907],18830410860.693535
[32981.84204907],18691959633.98142
[32681.54675032],18554273294.804836
[32681.54675032],18417349020.828075
[32681.54675032],18281183994.932125
[32681.54675032],18145775405.214405
[32681.54675032],18011120444.989315
[32681.54675032],17877216312.787666
[32681.54675032],17744060212.35717
[32681.54675032],17611649352.661995
[32681.54675032],17479980947.883076
[32681.54675032],17349052217.41793
[32681.54675032],17218860385.880863
[32681.54675032],17089402683.102793
[32681.54675032],16960676344.131277
[32681.54675032],16832678609.230484
[32681.54675032],16705406723.881392
[32681.54675032],16578857938.781542
[32681.54675032],16453029509.845142
[32418.60291761],16327918698.203163
[32418.60291761],16203522770.203094
[32418.60291761],16079838997.409178
[32418.60291761],15956864656.602274
[32418.60291761],15834597029.779913
[32418.60291761],15713033404.156416
[32418.60291761],15592171072.162611
[32418.60291761],15472007331.446058
[32418.60291761],15352539484.870888
[32418.60291761],15233764840.51804
[32418.60291761],15115680711.68512
[32418.60291761],14998284416.8862
[32418.60291761],14881573279.852234
[32418.60291761],14765544629.530718
[32418.60291761],14650195800.085894
[32418.60291761],14535524130.898558
[32418.60291761],14421526966.566307
[32152.73448284],14308201656.90331
[32152.73448284],14195545556.940401
[32152.73448284],14083556026.925156
[32152.73448284],13972230432.321646
[31873.08236832],13861566143.810843
[31873.08236832],13751560537.290192
[31873.08236832],13642210993.87393
[31873.08236832],13533514899.89287
[31873.08236832],13425469646.894505
[31873.08236832],13318072631.643011
[31873.08236832],13211321256.119308
[31873.08236832],13105212927.520746
[31873.08236832],12999745058.26158
[31873.08236832],12894915065.972656
[31873.08236832],12790720373.501476
[31873.08236832],12687158408.912144
[31873.08236832],12584226605.485518
[31230.28463508],12481922401.719154
[31202.33634668],12380243241.32707
[31202.33634668],12279186573.24017
[31202.33634668],12178749851.605925
[30892.64384873],12078930535.788492
[30892.64384873],11979726090.3687
[30892.64384873],11881133985.14394
[30892.64384873],11783151695.128445
[30892.64384873],11685776700.553013
[30892.64384873],11589006486.865103
[30892.64384873],11492838544.72882
[30892.64384873],11397270370.024977
[30892.64384873],11302299463.851032
[30892.64384873],11207923332.521217
[30892.64384873],11114139487.566195
[30847.70215539],11020945445.73345
[30847.70215539],10928338728.987173
[30847.70215539],10836316864.508114
[30847.70215539],10744877384.693718
[30847.70215539],10654017827.158049
[30847.70215539],10563735734.732008
[30847.70215539],10474028655.46298
[30616.29151365],10384894142.615053
[30616.29151365],10296329754.669058
